"treatment","tank_id","mean_weight_final","mean_weight_gain_pct","mean_sgr","mean_hsi","mean_vsi","mean_pfr","mean_cf","feed_intake","protein_pct","initial_n","final_n","total_tank_gain","fcr","per","survival_rate"
"Control","T1",29.456,192.417303019446,1.77033657075326,1.99865440356097,5.9999105798232,1.49826597785386,0.731988923971539,437.76,0.45,15,15,289.57,1.51175881479435,1.46995817089019,100
"Control","T2",30.956,220.287563075875,1.92897631955884,1.99638368026029,5.99787939848201,1.50106628737067,0.729386530594861,471.51,0.45,15,15,318.06,1.48245614035088,1.49901380670611,100
"Control","T3",30.2813333333333,196.856825416218,1.79433362139405,2.00163470392387,5.99716060052193,1.50598497303984,0.728661477680006,456.33,0.45,15,15,299.79,1.5221655158611,1.45990839962308,100
"Control","T4",29.05,190.062094198714,1.75946734982326,1.99878617563892,5.99680284781603,1.50059402878583,0.732264887232466,428.625,0.45,15,15,284.83,1.50484499526033,1.47671170733288,100
"Control","T5",30.7626666666667,214.957915419229,1.89672433214488,1.99813907140909,5.9987605265941,1.50409432441685,0.729086943029256,467.16,0.45,15,15,313.4,1.49061901723038,1.49080495856761,100
"Diet_A","T10",30.312,218.62426519934,1.8952736120927,2.00408260664287,6.00023940098319,1.4977083562991,0.727169047485591,457.02,0.45,15,15,308.53,1.48128220918549,1.50020179034227,100
"Diet_A","T6",30.436,200.044661609417,1.82338478091113,1.9975390866134,6.00174667879878,1.50010997762269,0.73081649406116,459.81,0.45,15,15,303.83,1.51337919231149,1.46838428433,100
"Diet_A","T7",30.0806666666667,199.130072225799,1.80933182387919,1.99896966647355,5.99935523378446,1.50080090053712,0.730814530073475,451.815,0.45,15,15,298.85,1.51184540739501,1.46987397742685,100
"Diet_A","T8",30.3986666666667,217.750528904286,1.90974706172024,2.00209807208064,6.00184249807223,1.50251133391809,0.728439719312419,458.97,0.45,15,15,311.17,1.47498152135489,1.50661021175434,100
"Diet_A","T9",31.88,225.328467622666,1.94996030907016,2.00109848982558,5.99763799415437,1.50139596873426,0.723709894389012,492.3,0.45,15,15,329.84,1.49254183846714,1.48888437492947,100
"Diet_B","T11",38.4013333333333,280.313259764551,2.21454293108974,1.99975476939392,5.9996586671049,1.49824563009068,0.694758576815894,639.03,0.45,15,15,423.18,1.51006663830994,1.47160540193731,100
"Diet_B","T12",39.2946666666667,290.32737059284,2.26107600614134,1.99869316701714,6.0007013563805,1.50150467172819,0.689954390869927,659.13,0.45,15,15,437.63,1.50613531979069,1.47544659037081,100
"Diet_B","T13",39.0973333333333,298.139166601765,2.29871751223272,2.00016278384388,5.99698623264862,1.4987987284732,0.690442284689984,654.69,0.45,15,15,438.71,1.49230699095074,1.48911868382152,100
"Diet_B","T14",37.1166666666667,269.267791766465,2.16175336806376,1.99942400210344,6.00283039215829,1.50341851308738,0.701349327067062,610.125,0.45,15,15,404.09,1.50987403796184,1.47179312071752,100
"Diet_B","T15",37.962,283.677858046227,2.23258215174597,1.99851391764574,6.00070765594195,1.49978951859583,0.697621839793355,629.145,0.45,15,15,419.84,1.49853515625,1.48292965497267,100
"Diet_C","T16",45.8086666666667,368.309140298926,2.56488638993933,1.99953777674739,5.99738228025414,1.49903162423087,0.651189265196611,805.695,0.45,15,15,539.4,1.49368743047831,1.48774246664888,100
"Diet_C","T17",45.976,364.310362641226,2.55103876392928,2.00098691411934,6.00145123735052,1.49651427727368,0.650116439288289,809.46,0.45,15,15,540.07,1.49880571037088,1.48266196668835,100
"Diet_C","T18",44.418,343.33625483285,2.47022247178903,1.99911165211402,6.00207744058019,1.50098657652068,0.659911185896302,774.405,0.45,15,15,514.3,1.50574567373129,1.47582839585086,100
"Diet_C","T19",44.4186666666667,343.173145431199,2.47091229839272,1.99765330725746,5.99902976626885,1.50379123903902,0.660545746330748,774.42,0.45,15,15,514.79,1.50434157617669,1.47720588024299,100
"Diet_C","T20",44.4326666666667,322.793622947608,2.39377206156958,1.99838366771304,5.99707163119588,1.50046786403256,0.659860796526245,774.735,0.45,15,15,507.9,1.52536916715889,1.45684223207505,100
