"tank_id","treatment","fish_id","initial_fish_count","final_fish_count","weight_initial_g","weight_final_g","feed_intake_tank_g","length_final_cm","liver_weight_g","viscera_weight_g","fat_weight_g","protein_content_pct","weight_gain_g","weight_gain_pct","sgr","condition_factor","hsi","vsi","pfr"
"T1","Control",1,15,15,9.44,27.85,437.76,15.6,0.56,1.67,0.42,0.45,18.41,195.021186440678,1.80312831035981,0.733586624858814,2.01077199281867,5.99640933572711,1.508078994614
"T1","Control",2,15,15,9.77,27.74,437.76,15.5,0.55,1.66,0.42,0.45,17.97,183.930399181167,1.73926491471999,0.744922963311067,1.98269646719539,5.98413842826244,1.51405912040375
"T1","Control",3,15,15,11.56,27.18,437.76,15.4,0.54,1.63,0.41,0.45,15.62,135.121107266436,1.42488424246461,0.744195928881373,1.98675496688742,5.99705665930832,1.50846210448859
"T1","Control",4,15,15,10.07,26.84,437.76,15.4,0.54,1.61,0.4,0.45,16.77,166.534260178749,1.63388767562168,0.734886634701106,2.01192250372578,5.99850968703428,1.4903129657228
"T1","Control",5,15,15,10.13,28.69,437.76,15.7,0.57,1.72,0.43,0.45,18.56,183.218163869694,1.7350788528878,0.741364166916243,1.98675496688742,5.99512025095852,1.49878006273963
"T1","Control",6,15,15,11.72,30.99,437.76,16.2,0.62,1.86,0.46,0.45,19.27,164.419795221843,1.62061297941798,0.728914404421187,2.00064536947402,6.00193610842207,1.48434979025492
"T1","Control",7,15,15,10.46,23.96,437.76,14.8,0.48,1.44,0.36,0.45,13.5,129.06309751434,1.38137885768412,0.739097388111267,2.00333889816361,6.01001669449082,1.5025041736227
"T1","Control",8,15,15,8.73,30.64,437.76,16.1,0.61,1.84,0.46,0.45,21.91,250.973654066438,2.09256829170147,0.734194510266622,1.99086161879896,6.00522193211488,1.50130548302872
"T1","Control",9,15,15,9.31,33.71,437.76,16.7,0.67,2.02,0.51,0.45,24.4,262.083780880773,2.14450906326166,0.723784601187385,1.98754078908336,5.99228715514684,1.51290418273509
"T1","Control",10,15,15,9.55,36.11,437.76,17.2,0.72,2.17,0.54,0.45,26.56,278.115183246073,2.21671446799455,0.709646634887494,1.9939075048463,6.00941567432844,1.49543062863473
"T1","Control",11,15,15,11.22,33.9,437.76,16.8,0.68,2.03,0.51,0.45,22.68,202.139037433155,1.84286185715309,0.714943715581471,2.00589970501475,5.9882005899705,1.50442477876106
"T1","Control",12,15,15,10.36,32.27,437.76,16.5,0.65,1.94,0.48,0.45,21.91,211.486486486487,1.89364294872089,0.718368255558338,2.01425472575147,6.01177564301208,1.48744964363186
"T1","Control",13,15,15,10.4,24.82,437.76,15,0.5,1.49,0.37,0.45,14.42,138.653846153846,1.44973995604856,0.735407407407407,2.01450443190975,6.00322320709106,1.49073327961322
"T1","Control",14,15,15,10.11,28.2,437.76,15.6,0.56,1.69,0.42,0.45,18.09,178.93175074184,1.70966157485281,0.742805846356142,1.98581560283688,5.99290780141844,1.48936170212766
"T1","Control",15,15,15,9.44,28.94,437.76,15.8,0.58,1.74,0.43,0.45,19.5,206.567796610169,1.86711456840988,0.733714777127164,2.00414651002073,6.0124395300622,1.48583275742916
"T10","Diet_A",136,15,15,11.13,27.77,457.02,15.6,0.56,1.67,0.42,0.45,16.64,149.505840071878,1.52385356005209,0.731479374230854,2.01656463809867,6.01368383147281,1.512423478574
"T10","Diet_A",137,15,15,8.54,33.14,457.02,16.6,0.66,1.99,0.5,0.45,24.6,288.056206088993,2.25996667366323,0.7244830679956,1.9915509957755,6.004828002414,1.50875075437538
"T10","Diet_A",138,15,15,10.74,34.25,457.02,16.9,0.69,2.05,0.51,0.45,23.51,218.901303538175,1.93285245937919,0.709578522788037,2.01459854014599,5.98540145985401,1.48905109489051
"T10","Diet_A",139,15,15,11.91,24.33,457.02,14.9,0.49,1.46,0.36,0.45,12.42,104.282115869018,1.1905529557137,0.735501061231597,2.01397451705713,6.00082203041512,1.47965474722565
"T10","Diet_A",140,15,15,8.56,34.71,457.02,16.9,0.69,2.08,0.52,0.45,26.15,305.490654205607,2.33321273286674,0.719108628495555,1.98789974070873,5.99250936329588,1.49812734082397
"T10","Diet_A",141,15,15,10.7,27.28,457.02,15.5,0.55,1.64,0.41,0.45,16.58,154.953271028037,1.55985015251233,0.732570239334027,2.01612903225806,6.01173020527859,1.50293255131965
"T10","Diet_A",142,15,15,9.74,32.36,457.02,16.5,0.65,1.94,0.49,0.45,22.62,232.23819301848,2.00113662422641,0.720371761694076,2.00865265760198,5.99505562422744,1.51421508034611
"T10","Diet_A",143,15,15,8.43,32.98,457.02,16.6,0.66,1.98,0.49,0.45,24.55,291.221826809015,2.27350757519615,0.720985261994414,2.00121285627653,6.00363856882959,1.48574893875076
"T10","Diet_A",144,15,15,8.49,30.4,457.02,16.1,0.61,1.82,0.46,0.45,21.91,258.068315665489,2.1259226801482,0.728443639429025,2.00657894736842,5.98684210526316,1.51315789473684
"T10","Diet_A",145,15,15,8.4,29.06,457.02,15.8,0.58,1.74,0.44,0.45,20.66,245.952380952381,2.06855158715478,0.736757132802882,1.99587061252581,5.98761183757743,1.51410874053682
"T10","Diet_A",146,15,15,9.47,31.5,457.02,16.3,0.63,1.89,0.47,0.45,22.03,232.629355860612,2.003097731056,0.727357197268739,2,6,1.49206349206349
"T10","Diet_A",147,15,15,8.54,32.32,457.02,16.5,0.65,1.94,0.48,0.45,23.78,278.454332552693,2.21820870975403,0.719481314522637,2.01113861386139,6.00247524752475,1.48514851485149
"T10","Diet_A",148,15,15,10.69,33.65,457.02,16.7,0.67,2.02,0.5,0.45,22.96,214.780168381665,1.91117388508964,0.722496346186755,1.99108469539376,6.00297176820208,1.48588410104012
"T10","Diet_A",149,15,15,12.1,24.84,457.02,15,0.5,1.49,0.37,0.45,12.74,105.289256198347,1.1987496741043,0.736,2.01288244766506,5.99838969404187,1.48953301127214
"T10","Diet_A",150,15,15,8.71,26.09,457.02,15.2,0.52,1.57,0.39,0.45,17.38,199.540757749713,1.82846718047371,0.742922164309666,1.99310080490609,6.01763127635109,1.49482560367957
"T11","Diet_B",151,15,15,10.79,42.29,639.03,18.5,0.85,2.54,0.63,0.45,31.5,291.936978683967,2.27655145369059,0.667917003928691,2.009931425869,6.00614802553795,1.48971388034996
"T11","Diet_B",152,15,15,10.77,41.14,639.03,18.2,0.82,2.47,0.62,0.45,30.37,281.987000928505,2.23369398842752,0.682417449716085,1.9931939718036,6.00388915896937,1.50704910063199
"T11","Diet_B",153,15,15,10.33,39.31,639.03,17.9,0.79,2.36,0.59,0.45,28.98,280.54211035818,2.2273777605037,0.685399764512612,2.00966675146273,6.00356143474943,1.50089035868736
"T11","Diet_B",154,15,15,8.99,40.15,639.03,18,0.8,2.41,0.6,0.45,31.16,346.607341490545,2.49418265318207,0.688443072702332,1.99252801992528,6.00249066002491,1.49439601494396
"T11","Diet_B",155,15,15,9.88,40.75,639.03,18.1,0.82,2.44,0.61,0.45,30.87,312.449392712551,2.36157221321183,0.687213826033886,2.01226993865031,5.98773006134969,1.49693251533742
"T11","Diet_B",156,15,15,9.72,30.02,639.03,16,0.6,1.8,0.45,0.45,20.3,208.847736625514,1.87946367955495,0.73291015625,1.99866755496336,5.99600266489007,1.49900066622252
"T11","Diet_B",157,15,15,10.56,41.33,639.03,18.3,0.83,2.48,0.62,0.45,30.77,291.382575757576,2.27419225040921,0.674391574951534,2.0082264698766,6.00048390999274,1.50012097749819
"T11","Diet_B",158,15,15,9.63,36.55,639.03,17.3,0.73,2.19,0.55,0.45,26.92,279.543094496365,2.22299660064292,0.705909573659588,1.99726402188782,5.99179206566347,1.50478796169631
"T11","Diet_B",159,15,15,10.98,38.69,639.03,17.7,0.77,2.32,0.58,0.45,27.71,252.367941712204,2.09917622105173,0.6977163989322,1.9901783406565,5.99638149392608,1.49909537348152
"T11","Diet_B",160,15,15,9.63,37.11,639.03,17.4,0.74,2.23,0.56,0.45,27.48,285.358255451713,2.24833874877079,0.70443870415169,1.99407167879278,6.00916195095662,1.50902721638372
"T11","Diet_B",161,15,15,11.05,40.62,639.03,18.1,0.81,2.44,0.61,0.45,29.57,267.601809954751,2.16971688031413,0.685021487447765,1.99409158050222,6.00689315608075,1.50172328902019
"T11","Diet_B",162,15,15,8.95,36.95,639.03,17.4,0.74,2.22,0.55,0.45,28,312.849162011173,2.36318685851241,0.701401512217864,2.00270635994587,6.00811907983762,1.48849797023004
"T11","Diet_B",163,15,15,8.74,39.56,639.03,17.9,0.79,2.37,0.59,0.45,30.82,352.631578947368,2.51651386181178,0.689758704760085,1.99696663296259,5.99089989888776,1.49140546006067
"T11","Diet_B",164,15,15,13.24,36.83,639.03,17.4,0.74,2.21,0.55,0.45,23.59,178.172205438066,1.70511696658019,0.699123618267495,2.00923160467011,6.00054303556883,1.49334781428184
"T11","Diet_B",165,15,15,9.58,34.72,639.03,16.9,0.69,2.08,0.52,0.45,25.14,262.421711899791,2.1460638296823,0.719315804706588,1.98732718894009,5.99078341013825,1.49769585253456
"T12","Diet_B",166,15,15,10.3,41.63,659.13,18.3,0.83,2.5,0.62,0.45,31.33,304.174757281553,2.32779527661882,0.679286747283628,1.99375450396349,6.00528465049243,1.48931059332212
"T12","Diet_B",167,15,15,10.64,40.22,659.13,18,0.8,2.41,0.6,0.45,29.58,278.007518796992,2.21623983405168,0.689643347050754,1.98906016907011,5.99204375932372,1.49179512680259
"T12","Diet_B",168,15,15,9.52,43.17,659.13,18.6,0.86,2.59,0.65,0.45,33.65,353.466386554622,2.51958493460685,0.670877483505458,1.9921241602965,5.99953671531156,1.5056752374334
"T12","Diet_B",169,15,15,10.52,38.2,659.13,17.6,0.76,2.29,0.57,0.45,27.68,263.117870722434,2.14926218050494,0.700689096543952,1.98952879581152,5.99476439790576,1.49214659685864
"T12","Diet_B",170,15,15,10.37,41.38,659.13,18.3,0.83,2.48,0.62,0.45,31.01,299.035679845709,2.3064677501266,0.675207437006883,2.00579990333494,5.99323344610923,1.49830836152731
"T12","Diet_B",171,15,15,9.78,43.93,659.13,18.8,0.88,2.64,0.66,0.45,34.15,349.18200408998,2.5037632899016,0.661131204068463,2.00318688823128,6.00956066469383,1.50239016617346
"T12","Diet_B",172,15,15,10.07,37.16,659.13,17.4,0.74,2.23,0.56,0.45,27.09,269.016881827209,2.17612034535861,0.70538782663101,1.99138858988159,6.0010764262648,1.50699677072121
"T12","Diet_B",173,15,15,9.97,34.03,659.13,16.8,0.68,2.04,0.51,0.45,24.06,241.323971915747,2.04610317423178,0.717685387647122,1.99823684983838,5.99471054951513,1.49867763737878
"T12","Diet_B",174,15,15,12.13,37.28,659.13,17.5,0.75,2.24,0.56,0.45,25.15,207.337180544106,1.87129211143572,0.695603498542274,2.0118025751073,6.00858369098713,1.50214592274678
"T12","Diet_B",175,15,15,9.26,37.36,659.13,17.5,0.75,2.24,0.56,0.45,28.1,303.455723542117,2.32482760783759,0.697096209912536,2.00749464668094,5.99571734475375,1.49892933618844
"T12","Diet_B",176,15,15,8.9,38.46,659.13,17.7,0.77,2.31,0.58,0.45,29.56,332.134831460674,2.43927910570423,0.693568692244312,2.00208008320333,6.00624024960998,1.5080603224129
"T12","Diet_B",177,15,15,10.04,43.14,659.13,18.6,0.86,2.59,0.65,0.45,33.1,329.681274900398,2.42978921116238,0.670411272606566,1.99350950394066,6.00370885489105,1.50672229949003
"T12","Diet_B",178,15,15,10.31,37.02,659.13,17.4,0.74,2.22,0.56,0.45,26.71,259.068865179437,2.13057334852747,0.702730283688913,1.99891950297137,5.9967585089141,1.51269584008644
"T12","Diet_B",179,15,15,10.44,39.12,659.13,17.8,0.78,2.35,0.59,0.45,28.68,274.712643678161,2.20164877118687,0.693647522089624,1.99386503067485,6.00715746421268,1.5081799591002
"T12","Diet_B",180,15,15,9.54,37.32,659.13,17.5,0.75,2.24,0.56,0.45,27.78,291.194968553459,2.27339315086491,0.696349854227405,2.0096463022508,6.0021436227224,1.5005359056806
"T13","Diet_B",181,15,15,8.94,38.06,654.69,17.6,0.76,2.28,0.57,0.45,29.12,325.727069351231,2.41438045447097,0.698121126033058,1.99684708355229,5.99054125065686,1.49763531266421
"T13","Diet_B",182,15,15,11.26,38.94,654.69,17.8,0.78,2.34,0.58,0.45,27.68,245.825932504441,2.06794229538752,0.690455892386757,2.00308166409861,6.00924499229584,1.4894709809964
"T13","Diet_B",183,15,15,9.65,41.98,654.69,18.4,0.84,2.52,0.63,0.45,32.33,335.025906735751,2.45039233173599,0.673889927673214,2.00095283468318,6.00285850404955,1.50071462601239
"T13","Diet_B",184,15,15,9.13,38.36,654.69,17.7,0.77,2.3,0.58,0.45,29.23,320.153340635268,2.3924159256806,0.691765341510447,2.00729927007299,5.99582898852972,1.51199165797706
"T13","Diet_B",185,15,15,9.76,40.14,654.69,18,0.8,2.41,0.6,0.45,30.38,311.270491803279,2.35680157157198,0.688271604938272,1.99302441454908,6.0039860488291,1.49476831091181
"T13","Diet_B",186,15,15,9.8,40.34,654.69,18.1,0.81,2.42,0.61,0.45,30.54,311.632653061224,2.35826857808257,0.680299527416121,2.00793257312841,5.99900842835895,1.51214675260288
