"treatment","tank_id","mean_weight_final","mean_weight_gain_pct","mean_sgr","mean_hsi","mean_vsi","mean_pfr","mean_cf","feed_intake","protein_pct","initial_n","final_n","total_tank_gain","fcr","per","survival_rate"
"Control","T1",28.4806666666667,185.514300877142,1.74148675325527,2.00109373949805,5.99915808683893,1.49857512865414,0.734564739514816,415.815,0.45,15,15,277.1,1.50059545290509,1.48089361321207,100
"Control","T2",30.128,203.533600057681,1.82277550417895,2.00268819728017,6.00321967682854,1.49819666408481,0.728244198287304,452.88,0.45,15,15,300.17,1.5087450444748,1.47289446309054,100
"Control","T3",29.7046666666667,193.829202721547,1.78321078844534,1.99945098255803,5.99620534683465,1.50069614004888,0.730049688412984,443.355,0.45,15,15,293.23,1.51197012583978,1.4697527313828,100
"Control","T4",29.7826666666667,197.4312969041,1.80268359154297,1.99673524439822,5.99686171232628,1.49758656233113,0.733806395286235,445.11,0.45,15,15,294.42,1.51181984919503,1.46989882650731,100
"Diet_A","T5",32.444,213.258984180966,1.89341753371766,1.99960090926232,5.99606445932022,1.49988878784015,0.722700129548736,504.99,0.45,15,15,330.45,1.52818883340899,1.45415420767408,100
"Diet_A","T6",30.328,209.905728366582,1.86343417632909,1.99794281484578,6.00125037391504,1.49704290424057,0.728934950380086,457.38,0.45,15,15,306.47,1.49241361307795,1.48901229709311,100
"Diet_A","T7",31.178,224.359753014939,1.95484230528621,1.9992613438795,5.99817579292321,1.50327758126846,0.72732776504915,476.505,0.45,15,15,322.89,1.47575025550497,1.50582540232177,100
"Diet_A","T8",32.242,219.359698348325,1.92956183940007,1.99728441180176,6.00061203193642,1.49933383002117,0.724107466314602,500.445,0.45,15,15,331.93,1.50768234266261,1.47393264439094,100
"Diet_B","T10",37.768,291.417832959525,2.25787322773834,1.99802512905264,6.00149441111882,1.49843739274488,0.698367887512198,624.78,0.45,15,15,419.78,1.48835104102149,1.49307667410039,100
"Diet_B","T11",38.782,293.814730585671,2.27132355036464,2.00293965368141,6.00107196212883,1.49907479662664,0.690423212926346,647.595,0.45,15,15,432.89,1.49598050313013,1.48546202144516,100
"Diet_B","T12",38.662,294.850175101621,2.27448918366201,1.99855190366359,6.00085421483536,1.49823715135486,0.693225096981331,644.895,0.45,15,15,431.66,1.493988324144,1.48744283091735,100
"Diet_B","T9",37.122,315.768559635979,2.34378958623928,2.00052028111597,5.99960650747327,1.49959741674864,0.700277304388365,610.245,0.45,15,15,420.03,1.45286050996357,1.52954960712501,100
"Diet_C","T13",44.3466666666667,351.409011681022,2.50387089302482,2.00230824089383,6.0027790431645,1.50031541798672,0.658610734885811,772.8,0.45,15,15,516.9,1.49506674405107,1.48636991028295,100
"Diet_C","T14",43.608,318.729357850958,2.38048085798492,1.9994713121473,5.99890335036143,1.49965460155741,0.664495713935877,756.18,0.45,15,15,497.29,1.52060166100263,1.46140983481299,100
"Diet_C","T15",43.3073333333333,363.440296437291,2.54363028612894,1.99801744898404,5.99906962274938,1.50263173114915,0.666993094327084,749.415,0.45,15,15,507.75,1.47595273264402,1.50561882712961,100
"Diet_C","T16",45.072,355.430127760215,2.51987339140376,1.99965471215471,6.00086356520148,1.50278634053659,0.655527065135743,789.12,0.45,15,15,527,1.49738140417457,1.48407227178517,100
